Date,Open,High,Low,Close,Adj Close,Volume,GDP,Balance of trade ,Total Population,Total cases,Total deaths,People Vaccinated,Uncertainty index,MYR/USD,Unemployment rate,Inflation rate,Interest rate ,FTSE Bursa Malaysia KLCI,WTI Crude Oil,Brent Crude Oil
27-08-2019,8.48,8.64,8.48,8.63,8.326107,28300,361300000000,10896400000,31949777,0,0,0,0.0000000,0.238186,0.033,0.002,0.0299,1590.839966,54.99,58.44
28-08-2019,8.63,8.64,8.4,8.57,8.268219,12800,361300000000,10896400000,31949777,0,0,0,0.0000000,0.238095,0.033,0.002,0.03,1589.819946,55.76,60.42
29-08-2019,8.5,8.53,8.33,8.44,8.142797,217000,361300000000,10896400000,31949777,0,0,0,0.0000000,0.237417,0.033,0.002,0.03,1595.180054,56.67,60.59
30-08-2019,8.58,8.9,8.5,8.9,8.586598,318100,361300000000,10896400000,31949777,0,0,0,0.0000000,0.23722,0.033,0.002,0.03,1612.140015,55.07,61.04
03-09-2019,8.9,8.9,8.68,8.68,8.374347,22300,361300000000,8354000000,31949777,0,0,0,0.0000000,0.237017,0.033,0,0.03,1591.52002,53.91,57.93
04-09-2019,8.46,8.87,8.46,8.68,8.374347,43800,361300000000,8354000000,31949777,0,0,0,0.0000000,0.237716,0.033,0,0.03,1599.890015,56.22,60.68
05-09-2019,8.68,8.9,8.68,8.74,8.432232,15600,361300000000,8354000000,31949777,0,0,0,0.0000000,0.238635,0.033,0,0.03,1599.75,56.33,62.7
06-09-2019,8.76,8.76,8.65,8.68,8.374347,15400,361300000000,8354000000,31949777,0,0,0,0.0000000,0.238715,0.033,0,0.0294,1604.469971,56.45,61.28
10-09-2019,8.87,8.88,8.65,8.86,8.548007,91300,361300000000,8354000000,31949777,0,0,0,0.0000000,0.240223,0.033,0,0.03,1595.849976,57.37,64.67
11-09-2019,8.68,8.86,8.68,8.75,8.441882,30900,361300000000,8354000000,31949777,0,0,0,0.0000000,0.240154,0.033,0,0.03,1602.300049,55.66,63.02
12-09-2019,8.88,8.92,8.8,8.87,8.557655,173000,361300000000,8354000000,31949777,0,0,0,0.0000000,0.239464,0.033,0,0.03,1601,55.13,60.76
13-09-2019,8.75,8.99,8.71,8.95,8.634839,10600,361300000000,8354000000,31949777,0,0,0,0.0000000,0.24009,0.033,0,0.0294,1601.25,54.76,61.25
17-09-2019,8.98,9.2,8.98,9.01,8.692725,54100,361300000000,8354000000,31949777,0,0,0,0.0000000,0.240298,0.033,0,0.0294,1604.300049,59.26,65.59
18-09-2019,9.48,9.48,9.36,9.36,9.030401,2100,361300000000,8354000000,31949777,0,0,0,0.0000000,0.238949,0.033,0,0.03,1599.48999,58.19,64.29
19-09-2019,9.09,9.1,9.05,9.1,8.779556,25500,361300000000,8354000000,31949777,0,0,0,0.0000000,0.239091,0.033,0,0.03,1596.280029,58.19,64.25
20-09-2019,9.02,9.12,9.01,9.11,8.789206,39900,361300000000,8354000000,31949777,0,0,0,0.0000000,0.238817,0.033,0,0.03,1597.410034,57.92,65.23
23-09-2019,9.2,9.22,9.11,9.2,8.876037,33000,361300000000,8354000000,31949777,0,0,0,0.0000000,0.239664,0.033,0,0.0293,1592.930054,58.69,64.66
24-09-2019,9.2,9.21,9.05,9.07,8.750613,46900,361300000000,8354000000,31949777,0,0,0,0.0000000,0.239515,0.033,0,0.0294,1592.329956,57.22,64.13
25-09-2019,9.17,9.17,9.05,9.13,8.8085,42300,361300000000,8354000000,31949777,0,0,0,0.0000000,0.23963,0.033,0,0.0295,1589.579956,56.38,62.41
26-09-2019,9.13,9.22,9.03,9.16,8.837443,73200,361300000000,8354000000,31949777,0,0,0,0.0000000,0.23872,0.033,0,0.03,1593,56.24,62.08
27-09-2019,9.16,9.16,9.1,9.1,8.779556,54000,361300000000,8354000000,31949777,0,0,0,0.0000000,0.238949,0.033,0,0.0294,1584.140015,55.95,62.48
30-09-2019,9.1,9.17,9.1,9.14,8.818149,58500,361300000000,8354000000,31949777,0,0,0,0.0000000,0.238635,0.033,0,0.0291,1583.910034,54.09,60.99
01-10-2019,9.1,9.17,9.1,9.16,8.837443,227100,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238971,0.032,0.002,0.0294,1589.439941,53.6,60.06
02-10-2019,9.16,9.17,9.11,9.15,8.827795,181300,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238663,0.032,0.002,0.0293,1574.900024,52.67,57.92
03-10-2019,9.1,9.15,9.08,9.15,8.827795,298300,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238949,0.032,0.002,0.03,1564.119995,52.41,58.01
04-10-2019,9.15,9.5,9.07,9.36,9.030401,386200,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238977,0.032,0.002,0.03,1557.670044,52.84,59.13
07-10-2019,9.4,9.9,9.4,9.85,9.503146,427600,370600000000,17325800000,31949777,0,0,0,0.0000000,0.23912,0.032,0.002,0.0294,1559,52.76,59.46
08-10-2019,9.87,9.98,9.84,9.85,9.503146,933200,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238663,0.032,0.002,0.03,1558.790039,52.64,58.14
09-10-2019,9.85,9.9,9.82,9.85,9.503146,459900,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238607,0.032,0.002,0.0293,1551.22998,52.63,59.7
10-10-2019,9.85,9.87,9.84,9.85,9.503146,211200,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238379,0.032,0.002,0.0291,1551.869995,53.57,59.08
11-10-2019,9.84,10.2,9.84,10.02,9.667161,67200,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238863,0.032,0.002,0.0293,1556.839966,54.76,60.59
14-10-2019,10.1,10.32,9.99,10,9.647865,150600,370600000000,17325800000,31949777,0,0,0,0.0000000,0.239234,0.032,0.002,0.0293,1567.589966,53.57,58.81
15-10-2019,10,10.1,9.98,10.02,9.667161,578500,370600000000,17325800000,31949777,0,0,0,0.0000000,0.23892,0.032,0.002,0.0292,1566.22998,52.81,59.19
16-10-2019,10.02,10.46,10.02,10.3,9.937301,712700,370600000000,17325800000,31949777,0,0,0,0.0000000,0.23872,0.032,0.002,0.03,1574.900024,53.42,59.3
17-10-2019,10.42,10.46,10.36,10.4,10.033779,573100,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238772,0.032,0.002,0.0299,1574.5,53.89,59.35
18-10-2019,10.44,10.82,10.44,10.6,10.226738,957800,370600000000,17325800000,31949777,0,0,0,0.0000000,0.239406,0.032,0.002,0.0291,1571.150024,53.75,59.96
21-10-2019,10.86,10.88,10.64,10.7,10.323215,475500,370600000000,17325800000,31949777,0,0,0,0.0000000,0.239063,0.032,0.002,0.0291,1570.930054,53.28,58.95
22-10-2019,10.68,11.2,10.6,10.88,10.496878,725400,370600000000,17325800000,31949777,0,0,0,0.0000000,0.239234,0.032,0.002,0.0293,1574.089966,54.21,60.5
23-10-2019,10.72,11.46,10.72,11.4,10.998565,431900,370600000000,17325800000,31949777,0,0,0,0.0000000,0.238892,0.032,0.002,0.03,1568.790039,55.9,60.52
24-10-2019,11.48,11.54,11.32,11.5,11.095045,101700,370600000000,17325800000,31949777,0,0,0,0.0000000,0.23896,0.032,0.002,0.0291,1571.109985,56.11,61.71
25-10-2019,11.42,11.42,11.12,11.2,10.805608,275700,370600000000,17325800000,31949777,0,0,0,0.0000000,0.239091,0.032,0.002,0.0299,1570,56.52,62.06
29-10-2019,11.08,11.28,11,11.18,10.786313,63600,370600000000,17325800000,31949777,0,0,0,0.0000000,0.239172,0.032,0.002,0.0293,1577.790039,55.34,61.05
30-10-2019,11.1,11.1,10.6,10.82,10.438989,960300,370600000000,17325800000,31949777,0,0,0,0.0000000,0.2392,0.032,0.002,0.0291,1580,54.85,60.22
31-10-2019,10.68,10.78,10.66,10.7,10.323215,382000,370600000000,17325800000,31949777,0,0,0,0.0000000,0.239515,0.032,0.002,0.0299,1597.97998,54.02,59.3
01-11-2019,10.74,10.78,10.66,10.78,10.400397,566200,370600000000,6610900000,31949777,0,0,0,0.0000000,0.239446,0.032,0.001,0.0292,1593.339966,56.04,60.17
04-11-2019,10.9,11.02,10.7,10.7,10.323215,73000,370600000000,6610900000,31949777,0,0,0,0.0000000,0.240269,0.032,0.001,0.0299,1603.560059,56.33,62.52
05-11-2019,10.7,10.86,10.7,10.76,10.381103,10300,370600000000,6610900000,31949777,0,0,0,0.0000000,0.241103,0.032,0.001,0.0299,1606.73999,57.04,62.72
06-11-2019,10.7,10.8,10.62,10.74,10.361806,49500,370600000000,6610900000,31949777,0,0,0,0.0000000,0.242248,0.032,0.001,0.03,1603.25,56.15,62.11
07-11-2019,10.7,10.8,10.66,10.78,10.400397,117300,370600000000,6610900000,31949777,0,0,0,0.0000000,0.241867,0.032,0.001,0.03,1609.329956,56.91,62.6
08-11-2019,10.78,10.86,10.66,10.76,10.381103,38800,370600000000,6610900000,31949777,0,0,0,0.0000000,,0.032,0.001,0.03,1609.72998,57.02,62
11-11-2019,10.66,11,10.6,10.9,10.516171,83500,370600000000,6610900000,31949777,0,0,0,0.0000000,0.242101,0.032,0.001,0.03,1608.150024,,62.58
